Done epoch 69: | Train loss: 0.0160 | Val loss: 0.0256 | Time taken: 19.2901 |
Done epoch 70: | Train loss: 0.0225 | Val loss: 0.0317 | Time taken: 19.5095 |
Done epoch 71: | Train loss: 0.0186 | Val loss: 0.0247 | Time taken: 19.3482 |
Done epoch 72: | Train loss: 0.0133 | Val loss: 0.0278 | Time taken: 19.2211 |
Done epoch 73: | Train loss: 0.0204 | Val loss: 0.0276 | Time taken: 19.2607 |
Done epoch 74: | Train loss: 0.0166 | Val loss: 0.0249 | Time taken: 19.2750 |
Done epoch 75: | Train loss: 0.0162 | Val loss: 0.0296 | Time taken: 19.3383 |
Done epoch 76: | Train loss: 0.0161 | Val loss: 0.0293 | Time taken: 19.3081 |
Done epoch 77: | Train loss: 0.0149 | Val loss: 0.0296 | Time taken: 19.3508 |
Done epoch 78: | Train loss: 0.0138 | Val loss: 0.0223 | Time taken: 19.2578 |
Done epoch 79: | Train loss: 0.0129 | Val loss: 0.0268 | Time taken: 19.3695 |
Done epoch 80: | Train loss: 0.0143 | Val loss: 0.0248 | Time taken: 19.2921 |
Done epoch 81: | Train loss: 0.0151 | Val loss: 0.0245 | Time taken: 19.2523 |
Done epoch 82: | Train loss: 0.0139 | Val loss: 0.0253 | Time taken: 19.3155 |
Done epoch 83: | Train loss: 0.0180 | Val loss: 0.0338 | Time taken: 19.3008 |
Done epoch 84: | Train loss: 0.0166 | Val loss: 0.0311 | Time taken: 19.3050 |
Done epoch 85: | Train loss: 0.0170 | Val loss: 0.0338 | Time taken: 19.2820 |
Done epoch 86: | Train loss: 0.0170 | Val loss: 0.0225 | Time taken: 19.2908 |
Done epoch 87: | Train loss: 0.0166 | Val loss: 0.0345 | Time taken: 19.2674 |
Done epoch 88: | Train loss: 0.0164 | Val loss: 0.0273 | Time taken: 19.3816 |
Done epoch 89: | Train loss: 0.0241 | Val loss: 0.0288 | Time taken: 19.2682 |
Done epoch 90: | Train loss: 0.0177 | Val loss: 0.0231 | Time taken: 19.3413 |
Done epoch 91: | Train loss: 0.0168 | Val loss: 0.0218 | Time taken: 19.2372 |
Done epoch 92: | Train loss: 0.0121 | Val loss: 0.0243 | Time taken: 19.2656 |
Done epoch 93: | Train loss: 0.0147 | Val loss: 0.0337 | Time taken: 19.2921 |
Done epoch 94: | Train loss: 0.0161 | Val loss: 0.0210 | Time taken: 19.2746 |
Done epoch 95: | Train loss: 0.0137 | Val loss: 0.0228 | Time taken: 19.2480 |
Done epoch 96: | Train loss: 0.0133 | Val loss: 0.0234 | Time taken: 19.3216 |
Done epoch 97: | Train loss: 0.0121 | Val loss: 0.0189 | Time taken: 19.4024 |
Done epoch 98: | Train loss: 0.0119 | Val loss: 0.0198 | Time taken: 19.2509 |
Done epoch 99: | Train loss: 0.0115 | Val loss: 0.0160 | Time taken: 19.2617 |
Done epoch 100: | Train loss: 0.0102 | Val loss: 0.0305 | Time taken: 19.2873 |
Done epoch 101: | Train loss: 0.0183 | Val loss: 0.0203 | Time taken: 19.3522 |
Done epoch 102: | Train loss: 0.0105 | Val loss: 0.0234 | Time taken: 19.2835 |
Done epoch 103: | Train loss: 0.0125 | Val loss: 0.0231 | Time taken: 19.2662 |
Done epoch 104: | Train loss: 0.0125 | Val loss: 0.0285 | Time taken: 19.2922 |
Done epoch 105: | Train loss: 0.0099 | Val loss: 0.0275 | Time taken: 19.3480 |
Done epoch 106: | Train loss: 0.0099 | Val loss: 0.0262 | Time taken: 19.4151 |
Done epoch 107: | Train loss: 0.0134 | Val loss: 0.0237 | Time taken: 19.3231 |
Done epoch 108: | Train loss: 0.0135 | Val loss: 0.0206 | Time taken: 19.2535 |
Done epoch 109: | Train loss: 0.0124 | Val loss: 0.0239 | Time taken: 19.2749 |
Done epoch 110: | Train loss: 0.0124 | Val loss: 0.0389 | Time taken: 19.2965 |
Done epoch 111: | Train loss: 0.0163 | Val loss: 0.0377 | Time taken: 19.2849 |
Done epoch 112: | Train loss: 0.0148 | Val loss: 0.0316 | Time taken: 19.2476 |
Done epoch 113: | Train loss: 0.0161 | Val loss: 0.0301 | Time taken: 19.2583 |
Done epoch 114: | Train loss: 0.0165 | Val loss: 0.0313 | Time taken: 19.3039 |
Done epoch 115: | Train loss: 0.0158 | Val loss: 0.0288 | Time taken: 19.3628 |
Done epoch 116: | Train loss: 0.0121 | Val loss: 0.0261 | Time taken: 19.2736 |
Done epoch 117: | Train loss: 0.0144 | Val loss: 0.0321 | Time taken: 19.3099 |
Done epoch 118: | Train loss: 0.0129 | Val loss: 0.0267 | Time taken: 19.3150 |
Done epoch 119: | Train loss: 0.0131 | Val loss: 0.0319 | Time taken: 19.3076 |
Done epoch 120: | Train loss: 0.0135 | Val loss: 0.0283 | Time taken: 19.2331 |
Done epoch 121: | Train loss: 0.0121 | Val loss: 0.0224 | Time taken: 19.3248 |
Done epoch 122: | Train loss: 0.0162 | Val loss: 0.0290 | Time taken: 19.2922 |
Done epoch 123: | Train loss: 0.0198 | Val loss: 0.0253 | Time taken: 19.3749 |
Done epoch 124: | Train loss: 0.0146 | Val loss: 0.0266 | Time taken: 19.3680 |
Done epoch 125: | Train loss: 0.0126 | Val loss: 0.0275 | Time taken: 19.2216 |
Done epoch 126: | Train loss: 0.0130 | Val loss: 0.0299 | Time taken: 19.2287 |
Done epoch 127: | Train loss: 0.0108 | Val loss: 0.0335 | Time taken: 19.3477 |
Done epoch 128: | Train loss: 0.0116 | Val loss: 0.0314 | Time taken: 19.3296 |
Done epoch 129: | Train loss: 0.0111 | Val loss: 0.0283 | Time taken: 19.3227 |
Done epoch 130: | Train loss: 0.0096 | Val loss: 0.0245 | Time taken: 19.3330 |
Done epoch 131: | Train loss: 0.0105 | Val loss: 0.0286 | Time taken: 19.2573 |
Done epoch 132: | Train loss: 0.0133 | Val loss: 0.0238 | Time taken: 19.4315 |
Done epoch 133: | Train loss: 0.0102 | Val loss: 0.0211 | Time taken: 19.2614 |
